SKU,Title,MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
BT-SPX-0125,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy Core Prime",,,,,,,,,
BT-SPX-0128,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy J1 (Verizon)",,,,,,,,,
BT-SPX-0144,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Joy",,,,,,,,,
BT-SPX-0141,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Magna",,,,,,,,,
BT-SPX-0181,"BiNTEK™ Screen Guard Premium HD Screen Protector - Oneplus Two",,,,,,,,,
BT-SPX-0131,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy A3",,,,,,,,,
BT-SPX-0139,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG G4C",,,,,,,,,
BT-SPX-0153,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Optimus F60",,,,,,,,,
BT-SPX-0113,"BiNTEK™ Screen Guard Premium HD Screen Protector - Apple iPod Nano 7",,,,,,,,,
BT-SPX-0080,"BiNTEK™ Screen Guard Premium HD Screen Protector - Blackberry Classic",,,,,,,,,
BT-SPX-0093,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC One 9+",,,,,,,,,
BT-SPX-0162,"BiNTEK™ Screen Guard Premium HD Screen Protector - Motorola Moto E (2015)",,,,,,,,,
BT-SPX-0130,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy J5",,,,,,,,,
BT-SPX-0159,"BiNTEK™ Screen Guard Premium HD Screen Protector - Motorola Moto G",,,,,,,,,
BT-SPX-0114,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy Note 5",,,,,,,,,
BT-SPX-0170,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 830",,,,,,,,,
BT-SPX-0164,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 430/435",,,,,,,,,
BT-SPX-0157,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Google Nexus 5",,,,,,,,,
BT-SPX-0176,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia XL",,,,,,,,,
BT-SPX-0124,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy Alpha",,,,,,,,,
BT-SPX-0173,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 630",,,,,,,,,
BT-SPX-0190,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia E4",,,,,,,,,
BT-SPX-0109,"BiNTEK™ Screen Guard Premium HD Screen Protector - Lenovo A5000",,,,,,,,,
BT-SPX-0171,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 635",,,,,,,,,
BT-SPX-0178,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 525",,,,,,,,,
BT-SPX-0082,"BiNTEK™ Screen Guard Premium HD Screen Protector - Huawei P8 Lite",,,,,,,,,
BT-SPX-0174,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia X2",,,,,,,,,
BT-SPX-0183,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia Z1S",,,,,,,,,
BT-SPX-0179,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 1520",,,,,,,,,
BT-SPX-0175,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 930",,,,,,,,,
BT-SPX-0167,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 638",,,,,,,,,
BT-SPX-0182,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia Z",,,,,,,,,
BT-SPX-0184,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia Z3v",,,,,,,,,
BT-SPX-0086,"BiNTEK™ Screen Guard Premium HD Screen Protector - Huawei Ascend G730",,,,,,,,,
BT-SPX-0099,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Desire 320",,,,,,,,,
BT-SPX-0101,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Desire 816",,,,,,,,,
BT-SPX-0177,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia X",,,,,,,,,
BT-SPX-0088,"BiNTEK™ Screen Guard Premium HD Screen Protector - Huawei Ascend G6",,,,,,,,,
BT-SPX-0104,"BiNTEK™ Screen Guard Premium HD Screen Protector - Lenovo A3900",,,,,,,,,
BT-SPX-0143,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Spirit",,,,,,,,,
BT-SPX-0191,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia E3",,,,,,,,,
BT-SPX-0103,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Butterfly 2",,,,,,,,,
BT-SPX-0155,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Volt",,,,,,,,,
ACC-SAM-1965,"Samsung Note 2 Glossy Bumper - Clear &amp; Black",,,,,,,,,
BT-SPX-0092,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Desire 510",,,,,,,,,
BT-SPX-0119,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy S5",,,,,,,,,
BT-SPX-0146,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG G Flex",,,,,,,,,
BT-SPX-0163,"BiNTEK™ Screen Guard Premium HD Screen Protector - Meizu MX5",,,,,,,,,
BT-SPX-0156,"BiNTEK™ Screen Guard Premium HD Screen Protector - Motorola Moto G (3rd Gen)",,,,,,,,,
BT-SPX-0102,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Desire 820",,,,,,,,,
BT-SPX-0169,"BiNTEK™ Screen Guard Premium HD Screen Protector - Nokia Lumia 640",,,,,,,,,
BT-SPX-0152,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG G Vista",,,,,,,,,
BT-SPX-0145,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG G Flex 2",,,,,,,,,
BT-SPX-0105,"BiNTEK™ Screen Guard Premium HD Screen Protector - Lenovo K80",,,,,,,,,
BT-SPX-0121,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy Avant",,,,,,,,,
BT-SPX-0158,"BiNTEK™ Screen Guard Premium HD Screen Protector - Motorola Moto X (2nd Gen)",,,,,,,,,
BT-SPX-0135,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Xcover 3",,,,,,,,,
BT-SPX-0127,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy Grand Prime",,,,,,,,,
BT-SPX-0140,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG AKA",,,,,,,,,
BT-SPX-0154,"BiNTEK™ Screen Guard Premium HD Screen Protector - LG Optimus F70",,,,,,,,,
BT-SPX-0186,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia Z3 Compact",,,,,,,,,
BT-SPX-0112,"BiNTEK™ Screen Guard Premium HD Screen Protector - Apple iPod Touch 5",,,,,,,,,
BT-SPX-0115,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy S6 Active",,,,,,,,,
BT-SPX-0192,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia C3",,,,,,,,,
BT-SPX-0194,"BiNTEK™ Screen Guard Premium HD Screen Protector - Sony Xperia T3",,,,,,,,,
BT-SPX-0078,"BiNTEK™ Screen Guard Premium HD Screen Protector - Asus Padfone X",,,,,,,,,
BT-SPX-0081,"BiNTEK™ Screen Guard Premium HD Screen Protector - Huawei Ascend Mate 2",,,,,,,,,
BT-SPX-0085,"BiNTEK™ Screen Guard Premium HD Screen Protector - Huawei Ascend P7",,,,,,,,,
BT-SPX-0091,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Desire 610",,,,,,,,,
BT-SPX-0096,"BiNTEK™ Screen Guard Premium HD Screen Protector - HTC Desire 626",,,,,,,,,
BT-SPX-0106,"BiNTEK™ Screen Guard Premium HD Screen Protector - Lenovo S60",,,,,,,,,
BT-SPX-0110,"BiNTEK™ Screen Guard Premium HD Screen Protector - Lenovo P70",,,,,,,,,
BT-SPX-0126,"BiNTEK™ Screen Guard Premium HD Screen Protector - Samsung Galaxy Light",,,,,,,,,
ACC-APL-2279,"Soft Leather Cover Case for iPad Mini - Dark Brown",,,,,,,,,
BT-SPX-0196,"BiNTEK™ Screen Guard Premium HD Screen Protector - ZTE Grand X",,,,,,,,,
APL-001-2089,"LCD and Touch Screen Digitizer Assembly for iPhone 5C - Black (Premium)",18.99,32.49,22.98,26.99,,,,,
APL-001-2090,"LCD and Touch Screen Digitizer Assembly for iPhone 5S SE - Black (Premium) ",18.99,32.49,22.98,26.99,,,,,
APL-001-2091,"LCD and Touch Screen Digitizer Assembly for iPhone 6 - Black (Premium)",29.99,51.49,39.99,44.99,,,,,
APL-001-2092,"LCD and Touch Screen Digitizer Assembly for iPhone 6 - White (Premium)",29.99,51.49,39.99,44.99,,,,,
APL-001-2093,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus - Black (Premium)",49.99,82.99,60.98,72.99,,,,,
APL-001-2094,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus - White (Premium)",49.99,82.99,60.98,72.99,,,,,
SRN-NOK-153,"Nokia Lumia 1520 LCD With Digitizer Assembly",,,,,,,,,
ACC-APL-2281,"Transparent Soft Silicone Case for Apple iPhone 4 4S",,,,,,,,,
APL-001-2095,"LCD and Touch Screen Digitizer Assembly for iPhone 5C - Black (Premium) - Grade A",,,,,,,,,
APL-001-2097,"LCD and Touch Screen Digitizer Assembly for iPhone 6 - Black (Premium) - Grade A",,,,,,,,,
BTY-COV-1559,"Motorola Moto G XT1031 Front Bezel",,,,,,,,,
APL-002-6368,"iPhone 5 Front Middle Frame Bezel LCD Holder - Black",,,,,,,,,
APL-002-6369,"iPhone 5 Front Middle Frame Bezel LCD Holder - White",,,,,,,,,
APL-002-6370,"iPhone 5S Front Middle Frame Bezel LCD Holder - Black",,2.99,0.80,,,,,,
APL-002-6371,"iPhone 5S Front Middle Frame Bezel LCD Holder - White",,4.99,0.80,,,,,,
APL-002-6372,"iPhone 5C Front Middle Frame Bezel LCD Holder - Black",,,,,,,,,
APL-002-6373,"iPhone 5C Front Middle Frame Bezel LCD Holder - White",,,,,,,,,
APL-003-1553,"Touch Screen Tester Flex Cable for IPad Mini",7.49,,,0.00,,,,,
TAB-SRN-663,"NextBook NEXT7P12-8G 7 LCD Screen + Motherboard + Battery Used As Is",,,,,,,,,
SRN-LGM-576,"LG G3 D850 D851 D855 VS985 LS990 LCD Digitizer Assembly - Black",52.75,52.99,51.98,58.99,,,,,
APL-003-1554,"iPhone 4 Replacement Headphone Jack Flex Cable - White - GSM",2.99,,,1.49,,,,,
APL-003-1555,"iPhone 4 Replace Headphone Jack Flex Cable - White - CDMA",,,,0.99,,,,,
APL-003-1556,"iPhone 4S Replacement Volume Flex w/Headphone Jack - White",3.49,,,0.00,,,,,
APL-003-1557,"Loudspeaker for iPhone 5c",1.39,7.99,1.50,2.99,,,,,
SRN-LGM-577,"LCD + Touch Screen Digitizer for LG Optimus G2 D800 D801 B29 - White",26.00,0.00,33.98,36.99,,,,,
FLX-SAM-1358,"Samsung Galaxy S4 Replace Loudspeaker i545/L720 (Verizon/Sprint)",2.99,7.99,6.99,,,,,,
FLX-SAM-1359,"Samsung Galaxy S5 Replacement Ear Speaker",1.45,,0.99,1.99,,,,,
FLX-SAM-1360,"Samsung Galaxy S5 Replacement Loudspeaker",2.66,4.99,0.98,1.99,,,,,
ACC-ZRT-402,"10MM Double-Side Red Film transparent VHB Adhesive Tape for LCD iPhone ",,,,,,,,,
SRN-LGM-578,"LCD + Touch Screen Digitizer for LG Optimus G2 D800 D801 B29 - White - Grade A",,,,,,,,,
BTY-COV-1560,"Samsung Galaxy S5 G900F Back Cover Housing - Black",,,,,,,,,
SRN-BLB-084,"Blackberry Torch 9800 LCD Version 002",,,0.60,,,,,,
APL-001-1894,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus - White  Grade A",,,,,,,,,
SRN-SAM-1325,"Samsung Galaxy Note 5 Front Glass Lens - White Pearl",5.00,,2.99,3.49,,,,,
SRN-SAM-1326,"Samsung Galaxy Note 5 Front Glass Lens - Gold Platinum",5.00,,2.99,6.99,,,,,
ACC-ZED-746,"Samsung Galaxy Note 5 Clear Screen Protector",,,,,,,,,
ACC-ZED-747,"Samsung Galaxy S6 Edge+ Tempered Glass Screen Protector",,,,,,,,,
FLX-SAM-1361,"Samsung Galaxy Mega 6.3 i9200 i9205 Charging Port/Mic Flex Cable - i9200 i9205",,7.99,2.50,,,,,,
FLX-SNY-024,"Sony Xperia Z3 Dual Earpiece Speaker",,,,,,,,,
FLX-SAM-1362,"Samsung Galaxy S5 Earpiece Speaker",1.45,,0.99,1.99,,,,,
APL-001-2107,"iPhone 6 Plus LCD Backlight Film Replacement (Premium)",4.10,,,5.99,,,,,
APL-001-2108,"iPhone 6 LCD Backlight Film Replacement (Premium)",3.79,,2.99,5.99,,,,,
APL-001-2109,"iPhone 5C 5S LCD Backlight Film Replacement (Premium)",2.25,2.99,1.50,4.99,,,,,
APL-001-2111,"iPhone 5 LCD Backlight Film Replacement",2.25,2.99,,4.99,,,,,
APL-002-6374,"iPhone 6 Front Middle Frame Bezel LCD Holder - Black",,,,,,,,,
APL-002-6375,"iPhone 6 Front Middle Frame Bezel LCD Holder - White",,,,,,,,,
ACC-ZED-748,"iPhone 6 Polarizer Film Replacement (Set of 100)",,,,,,,,,
ACC-ZED-749,"iPhone 6 Plus Polarizer Film Replacement",,,,,,,,,
ACC-ZED-750,"iPhone 5 5C 5S Polarizer Film Replacement",,,,,,,,,
APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",25.00,31.49,25.99,26.99,,,,,
APL-003-1558,"Vibrator Motor for iPhone 5c",1.49,,1.50,1.99,,,,,
APL-003-1559,"Rear Camera Module for iPad Mini & iPad Mini 2 & iPad Mini 3 & iPad Air",4.50,9.99,3.99,5.99,,,,,
APL-003-1560,"iPhone 6 Front Camera Holder Bracket",,2.99,,0.99,,,,,
APL-003-1561,"iPhone 6 Proximity Sensor Holder Bracket",,2.99,0.50,0.49,,,,,
APL-003-1562,"iPhone 6/6 Plus Replacement Earpiece Speaker Mesh Part",,2.49,,0.99,,,,,
TAB-SRN-664,"Samsung Galaxy Tab 4 10.1 Digitizer - White SM-T530",,,18.50,,,,,,
TAB-SRN-665,"Samsung Galaxy Tab 4 7.0 Digitizer - White - SM-T230	",9.00,,14.50,,,,,,
TAB-SRN-666,"Samsung Galaxy Tab 4 10.1 LCD - SM-T530",,37.99,,34.99,,,,,
SRN-SNY-133,"Sony Z3 Compact LCD &amp; Digitizer Assembly - White",,,32.95,,,,,,
ACC-ZED-753,"iPad 2/3/4 Tempered Glass Screen Protector",,,,,,,,,
FLX-MOT-509,"Motorola Droid Mini XT1030 Charging Port",1.99,,,,,,,,
APL-003-1563,"iPad Mini 4 Charging Port Flex Cable",3.89,9.99,2.99,4.99,,,,,
APL-003-1564,"Power and Volume Button Flex Cable for iPhone 6s",3.99,9.99,3.49,4.99,,,,,
APL-003-1565,"Wi-fi Antenna Flex Cable for iPhone 6s Plus",1.49,,0.98,,,,,,
APL-003-1566,"Home Button Flex Cable for iPhone 6s and 6s Plus",,,1.95,2.99,,,,,
APL-003-1567,"Vibrator Motor for iPhone 6s",2.45,7.99,1.99,3.99,,,,,
APL-003-1568,"Apple iPad Mini 4 Power Button Flex Cable",3.25,7.99,3.50,,,,,,
APL-003-1569,"Apple iPod Touch 4 Charging Port",,,0.99,1.49,,,,,
SRN-MOT-643,"LCD + Touch Screen Digitizer for Motorola Droid Razr M XT907 Black - Grade A",,,,,,,,,
BTY-COV-1562,"Back Battery Door Cover with Volume Power Buttons for HTC One M7 801e Silver - Grade A",,,,,,,,,
APL-001-2119,"LCD and Touch Screen Digitizer for ATT iPhone 4 Black - Grade C",,,,,,,,,
SRN-MOT-644,"Motorola Droid Turbo XT1254 LCD Assembly Black - Grade A",,,,,,,,,
ACC-ZRT-403,"5mm Thin Double Sided Adhesive Tape for Mobile Phone Repair",,,,,,,,,
BT-BP-30146K,"BinTEK Samsung Galaxy Note 10.1 2014 Edition P600 8220mAH Li-Poly Premium Battery with Tools",,,,,,,,,
ACC-ZED-754,"Selfie Bluetooth Remote Shutter for IOS / Android - Green",,,,,,,,,
APL-001-2120,"Front Screen Glass for iPhone 6s Black",2.50,7.99,1.50,7.99,,,,,
APL-001-2121,"Front Screen Glass for iPhone 6s White",2.50,7.99,1.50,5.49,,,,,
APL-001-2122,"Front Screen Glass for iPhone 6S Plus Black",7.50,7.99,4.99,7.99,,,,,
APL-001-2123,"Front Screen Glass for iPhone 6s Plus White",2.75,7.99,4.99,5.49,,,,,
TAB-SRN-667,"Samsung Galaxy Tab 4 7.0 Touch Screen Digitizer - Black",9.00,,14.50,16.99,,,,,
BTY-COV-1563,"Samsung Galaxy S6 Rear Battery Cover - Gold Platinum",5.99,,2.40,4.99,,,,,
BTY-COV-1564,"Samsung Galaxy S6 Rear Battery Cover - White Pearl",5.99,,2.40,4.99,,,,,
BTY-COV-1565,"Back Glass for Galaxy S6 Edge - White Pearl",5.99,9.99,2.50,1.99,,,,,
BTY-COV-1566,"Samsung Galaxy S6 Rear Battery Cover - Black Sapphire",5.99,,2.40,4.99,,,,,
BTY-COV-1567,"Samsung Galaxy S6 Edge Rear Battery Cover - Gold Platinum",,,2.50,,,,,,
BTY-COV-1568,"Samsung Galaxy S6 Edge Plus Rear Battery Cover - Gold Platinum",6.99,,,,,,,,
BTY-COV-1569,"Samsung Galaxy S6 Edge Plus Rear Battery Cover - Black Sapphire",6.99,,,,,,,,
BTY-COV-1570,"Samsung Galaxy Note 5 Back Cover - White Pearl",,12.99,14.45,,,,,,
BTY-COV-1571,"Samsung Galaxy Note Edge N915 Back Cover - Frost White",,,,,,,,,
SRN-LGM-579,"LG G Pro 2 F350 LCD Assembly",,,,,,,,,
APL-001-2126,"Apple iPad Air Digitizer Touch Screen With Home Button - Black - Grade A",,,,,,,,,
ACC-ZRT-404,"5mm Heat Resistant Kapton Tape",,,,,,,,,
APL-003-1570,"Rear Camera for iPhone 5c",5.95,9.99,4.45,5.99,,,,,
FLX-SAM-1363,"Samsung Galaxy S6 Edge Plus G928A Charging Port Flex Cable",6.79,,5.99,7.99,,,,,
FLX-SAM-1364,"Samsung Galaxy S6 Edge Plus G928T Charging Port Flex Cable",6.79,,6.99,7.99,,,,,
FLX-SAM-1365,"Samsung Galaxy S6 Edge Plus G928F Charging Port Flex Cable",7.99,,8.50,,,,,,
FLX-SAM-1366,"Samsung Galaxy S6 Edge Plus Sim Card Tray - Gold",3.30,,2.50,,,,,,
FLX-SAM-1367,"Samsung Galaxy S6 Edge Plus Rear Camera Flex Cable",12.99,,11.99,7.99,,,,,
FLX-SAM-1368,"Samsung Galaxy S6 Edge Plus Front Camera Flex Cable",3.79,,2.99,1.99,,,,,
FLX-SAM-1369,"Samsung Galaxy S6 Edge Plus Home Button Flex Cable - White",,,12.50,12.99,,,,,
FLX-SAM-1370,"Samsung Galaxy S6 Edge Plus Microphone Flex Cable",7.49,,3.00,,,,,,
FLX-SAM-1371,"Vibrating Motor Samsung Galaxy S6, S6 Edge, S6 Edge Plus and Note 5",4.29,4.99,1.50,0.99,,,,,
FLX-SAM-1372,"Samsung Galaxy S6 Edge Plus Earpiece Speaker",1.90,,1.98,1.99,,,,,
FLX-SAM-1373,"Samsung Galaxy Note 5 N920A Charging Port Flex Cable",6.29,12.99,5.50,8.99,,,,,
FLX-SAM-1374,"Samsung Galaxy Note 5 N920F Charging Port Flex Cable",,12.99,7.99,,,,,,
FLX-SAM-1375,"Samsung Galaxy Note 5 N920P Charging Port Flex Cable",6.29,10.49,5.50,7.99,,,,,
FLX-SAM-1376,"Samsung Galaxy Note 5 N920T Charging Port Flex Cable",6.29,10.99,5.99,7.99,,,,,
FLX-SAM-1377,"Samsung Galaxy Note 5 Rear Camera Flex Cable",12.99,14.99,11.99,7.99,,,,,
FLX-SAM-1378,"Samsung Galaxy Note 5 Microphone Flex Cable",,,2.50,,,,,,
FLX-SAM-1379,"Samsung Galaxy Note 5 Home Button Flex Cable - Gold Platinum",13.50,,,9.99,,,,,
FLX-SAM-1380,"Samsung Galaxy Note 5 Sim Card Tray",3.75,,1.99,,,,,,
FLX-SAM-1381,"Samsung Galaxy Note 5 Earpiece Speaker",4.94,9.99,4.50,5.99,,,,,
FLX-SAM-1382,"Samsung Galaxy Note 5 Power Button Flex Cable ",2.49,4.99,1.48,1.49,,,,,
FLX-SAM-1383,"Samsung Galaxy Note 5 Vibration Motor",4.29,,1.50,1.99,,,,,
FLX-SAM-1384,"Samsung Galaxy Note 5 Front Camera Flex Cable",3.79,9.99,2.98,3.99,,,,,
FLX-SAM-1385,"Samsung Galaxy Note 5 Loudspeaker",2.99,7.99,1.48,1.99,,,,,
FLX-SAM-1386,"Samsung Galaxy Note 5 Stylus Pen - Gold Platinum",,,,,,,,,
FLX-SAM-1387,"Samsung Galaxy Note 5 Stylus Pen - Black Sapphire",,,,,,,,,
FLX-SAM-1388,"Samsung Galaxy Note Edge Stylus - Frost White",,,,,,,,,
FLX-SAM-1389,"Samsung Galaxy Note Edge Stylus - Charcoal Black",,,,,,,,,
TAB-SRN-668,"LG G Pad 8.3 LTE VK810 LCD With Digitizer Assembly - Black",,,,,,,,,
TAB-SRN-669,"LG G Pad 7.0 V400 LCD With Digitizer Assembly - Black",,,,,,,,,
TAB-SRN-670,"LG G Pad 8.0 V480 LCD With Digitizer Assembly - Black",,,,,,,,,
TAB-SRN-671,"LG G Pad 8.3 LTE VK810 LCD And Digitizer Assembly Without Frame - Black",,,,,,,,,
SRN-SAM-1328,"Asus ZenFone 5 LCD With Digitizer Assembly - Black",,,,,,,,,
SRN-SAM-1329,"Asus ZenFone 6 LCD With Digitizer Assembly - Black",,,,,,,,,
FLX-MOT-510,"Motorola Droid Ultra XT1080 Loudspeaker Ringer Headphone Jack and Vibration Motor",,,,,,,,,
FLX-MOT-511,"Motorola Moto X XT1060 Loudspeaker Ringer Headphone Jack Housing",,,,,,,,,
APL-001-2130,"LCD Touch Screen Digitizer Assembly for iPhone 5C Black A Stock - Grade A",,,,,,,,,
APL-001-2131,"LCD Touch Screen Digitizer Assembly for iPhone 5C Black A Stock - Grade B",,,,,,,,,
APL-003-1571,"Charging Port and Headphone Jack Flex Cable for iPhone 6s – White",5.29,12.99,5.50,6.99,,,,,
APL-003-1573,"Charging Port and Headphone Jack Flex Cable for iPhone 6s – Gray",5.29,12.99,5.50,6.99,,,,,
APL-003-1574,"Earpiece Speaker for iPhone 6s",1.89,4.99,1.50,1.99,,,,,
SRN-SAM-1330,"Samsung Galaxy Note 5 LCD & Digitizer Touch Screen - Blue",189.99,229.99,209.99,,,,,,
SRN-SAM-1331,"Samsung Galaxy Note 5 LCD & Digitizer Touch Screen - White Pearl",178.00,229.99,209.99,219.99,,,,,
SRN-SAM-1332,"Samsung Galaxy S6 Edge Plus LCD & Digitizer Touch Screen - Silver",,,239.98,,,,,,
SRN-SAM-1333,"Samsung Galaxy S6 Edge Plus LCD With Digitizer Touch Screen - White Pearl",,214.99,239.98,,,,,,
SRN-SAM-1334,"Samsung Galaxy S6 Edge Plus LCD & Digitizer Touch Screen - Black Sapphire",,219.99,239.98,,,,,,
TAB-SRN-672,"Microsoft Surface RT1 Digitizer Touch Screen",,,,,,,,,
TAB-SRN-673,"Microsoft Surface RT2 Digitizer Touch Screen",,,,,,,,,
TAB-SRN-674,"Microsoft Surface Pro Digitizer Touch Screen",,,,,,,,,
TAB-SRN-675,"Microsoft Surface RT1 Digitizer Touch Screen - Grade A",,,,,,,,,
SRN-SAM-1335,"LCD and Touch Screen Digitizer for Galaxy S6 Edge - White Pearl",189.99,,176.98,229.99,,,,,
SRN-SAM-1336,"Galaxy S6 Edge G925F LCD + Touch Screen Digitizer - White Pearl - Grade A",,,,,,,,,
SRN-SAM-1337,"Galaxy S6 Edge G925F LCD + Touch Screen Digitizer - White Pearl - Grade B",,,,,,,,,
